team,elo,fifa_points,blended_rating
Abkhazia,1548.6611120122818,1229.9681990521326,1543.7950008110536
Afghanistan,1307.1332323412055,972.75,1317.1388796995577
Albania,1589.422814441971,1388.06,1586.1848519732316
Alderney,1186.24092681023,1229.9681990521326,1217.6168341292068
Algeria,1766.0156108707645,1564.26,1751.4760735702073
Ambazonia,1467.1733707319704,1229.9681990521326,1470.4560336587733
American Samoa,1236.2799332583515,871.61,1249.7215446646555
Andalusia,1559.8908564834765,1229.9681990521326,1553.901770835129
Andorra,1176.801038794926,945.34,1198.8508891124961
Angola,1544.3405163583022,1263.1,1541.1019369715377
Anguilla,1153.1613418295744,760.25,1170.896685206453
Antigua and Barbuda,1279.6212921521033,986.58,1292.8771520170897
Arameans Suryoye,1531.4908391705444,1229.9681990521326,1528.34175525349
Argentina,1987.728553297154,1874.81,1962.223086277653
Armenia,1434.9819375170694,1191.42,1440.0928353058193
Artsakh,1521.5036584086886,1229.9681990521326,1519.3532925678198
Aruba,1283.6210483467942,877.3,1292.5338566459277
Asturias,1513.3178709372953,1229.9681990521326,1511.986083843566
Australia,1761.589784394547,1580.67,1748.0849406153318
Austria,1742.7572888168918,1593.45,1731.5968266470047
Aymara,1480.2050085049837,1229.9681990521326,1482.1845076544853
Azerbaijan,1394.152753457958,1136.67,1401.3710626242103
Bahamas,1239.4976298166005,786.82,1249.5580516412572
Bahrain,1511.5737771638683,1258.53,1511.4469754934455
Bangladesh,1227.4645501900302,899.53,1242.7951182818545
Barawa,1425.9056832189874,1229.9681990521326,1433.3151148970887
Barbados,1281.3223794504868,909.89,1291.6409774530564
Basque Country,1695.2480563417027,1229.9681990521326,1675.7232507075325
Belarus,1488.5305563393185,1235.82,1489.8886472606628
Belgium,1825.517739867533,1734.71,1811.1782211374773
Belize,1370.7811567359906,907.0,1372.049599104766
Benin,1507.489155871325,1258.98,1507.7870533742257
Bermuda,1378.03024099827,976.87,1381.0948466499485
Bhutan,1073.6740462454761,880.55,1103.6988222952407
Biafra,1508.0876653487283,1229.9681990521326,1507.2788988138554
Bolivia,1594.946552270289,1329.42,1589.0403487649114
Bonaire,1351.7597181158958,1229.9681990521326,1366.5837463043063
Bosnia and Herzegovina,1576.010614678542,1385.84,1574.0337694354043
Botswana,1440.0775793736157,1063.63,1440.0679532842846
Brazil,1927.80677960783,1761.16,1904.192734271807
British Virgin Islands,1201.3156342802956,782.14,1215.025390400264
Brittany,1509.0703627330174,1229.9681990521326,1508.1633264597158
Brunei,1111.9062006895306,1229.9681990521326,1150.7155806205774
Bulgaria,1501.665024896502,1278.9,1503.264095314344
Burkina Faso,1647.426466340063,1412.49,1639.2696297628663
Burundi,1418.4211333846133,1078.01,1421.0960156579908
Cambodia,1156.214369530729,911.54,1179.103304353528
Cameroon,1671.9181262867035,1481.24,1663.7927832254018
Canada,1761.263553045111,1556.48,1746.9185010763242
Canary Islands,1503.638773846228,1229.9681990521326,1503.2748964616053
Cape Verde,1613.8673073387565,1366.13,1607.3936102993705
Cascadia,1527.0296770681045,1229.9681990521326,1524.3267093612942
Catalonia,1585.4182900812345,1229.9681990521326,1576.8764610731112
Cayman Islands,1230.4538166208717,855.45,1243.8949493972418
Central African Republic,1383.9589673465268,1083.57,1390.280683923767
Central Spain,1500.3669376095977,1229.9681990521326,1500.330243848638
Chad,1320.557646503455,896.85,1326.482204345925
Chagos Islands,1433.3936994292362,1229.9681990521326,1440.0543294863126
Chameria,1516.8098513336824,1229.9681990521326,1515.1288662003142
Chechnya,1483.3185477037819,1229.9681990521326,1484.9866929334037
Chile,1725.7569694646247,1455.28,1711.3110450543438
China PR,1514.0551259040428,1251.6,1513.430138880938
Cilento,1492.5946515364017,1229.9681990521326,1493.3351863827615
Colombia,1923.337662168603,1693.09,1897.714405043648
Comoros,1460.7774858712698,1187.91,1463.1821798808605
Congo,1402.7047546061376,1105.96,1407.9597756056555
Cook Islands,1342.4486399532746,877.53,1345.4869880253955
Corsica,1529.7915256792503,1229.9681990521326,1526.8123731113253
Costa Rica,1669.164007913869,1459.9,1660.5440799777732
Cote d'Ivoire,1692.6541597995385,1532.98,1684.3221126316998
County of Nice,1546.068444485683,1229.9681990521326,1541.4616000371147
Crimea,1519.0894708014757,1229.9681990521326,1517.1805237213282
Croatia,1838.180412784458,1717.07,1821.9381346352006
Cuba,1435.2201363406664,981.42,1432.7299270148042
Curaçao,1511.1323518412273,1294.65,1512.352986107016
Cyprus,1367.324467054077,1128.33,1376.9246783106366
Czech Republic,1701.0055620555897,1501.38,1690.6981733452926
Czechoslovakia,1692.701008341056,1229.9681990521326,1673.4309075069505
DR Congo,1643.2489376131239,1478.35,1637.8862355139363
Darfur,1432.8366766065678,1229.9681990521326,1439.5530089459112
Denmark,1791.0892636583058,1620.81,1776.0828162836797
Djibouti,1170.7271995804729,853.58,1190.0735201221958
Dominica,1283.28335491558,897.69,1292.9656510657667
Dominican Republic,1452.776938733772,1077.95,1452.0140755330247
Donetsk PR,1507.3962289499113,1229.9681990521326,1506.6566060549203
Délvidék,1493.0269498824484,1229.9681990521326,1493.7242548942036
Ecuador,1833.355714509737,1594.78,1813.1833992563697
Egypt,1710.073085180316,1563.24,1701.0909964822467
El Salvador,1481.130621422474,1225.26,1482.8476765346807
Elba Island,1505.3110836637777,1229.9681990521326,1504.7799752974
Ellan Vannin,1537.524878299867,1229.9681990521326,1533.7723904698803
England,1890.266741973289,1825.97,1872.7451955698737
Equatorial Guinea,1460.693043496117,1195.2,1463.3692218571427
Eritrea,1324.2023716745227,887.06,1329.4092110855825
Estonia,1429.393823169403,1121.1,1432.5262236397195
Eswatini,1351.4773113430601,979.01,1357.2744261253881
Ethiopia,1404.9309547991936,1071.55,1408.7217631429212
Falkland Islands,1354.623412646792,1229.9681990521326,1369.1610713821128
Faroe Islands,1362.250342233841,1137.14,1372.6758512129772
Felvidék,1514.6685707644328,1229.9681990521326,1513.2017136879897
Fiji,1490.2494513063195,1029.7,1483.9983649009068
Finland,1545.3543053605017,1346.41,1545.0203651655124
France,1938.625091176372,1877.32,1918.1205369925349
Franconia,1508.8390745635024,1229.9681990521326,1507.9551671071522
French Guiana,1444.5010909616683,1229.9681990521326,1450.0509818655014
Frøya,1351.1815514011391,1229.9681990521326,1366.0633962610252
Gabon,1531.8857946162036,1272.51,1530.2322220362944
Galicia,1516.7693689333892,1229.9681990521326,1515.0924320400502
Gambia,1504.8574795897405,1229.9681990521326,1504.3717316307664
Georgia,1595.0707261712253,1350.18,1589.9011742421426
German DR,1673.4948954820136,1229.9681990521326,1656.1454059338123
Germany,1838.8076888603662,1730.37,1822.9825779615605
Ghana,1610.0304510505234,1346.31,1603.2252880545166
Gibraltar,1213.2048187457608,810.14,1226.735961383483
Gotland,1443.5031548371337,1229.9681990521326,1449.1528393534204
Gozo,1477.6534469991707,1229.9681990521326,1479.8881022992537
Greece,1697.8173696492129,1475.82,1686.9065360764278
Greenland,1457.7562854377584,1229.9681990521326,1461.9806568939825
Grenada,1344.465614224564,982.57,1351.0923517784884
Guadeloupe,1501.7523441828823,1229.9681990521326,1501.577109764594
Guam,1199.6697517359744,825.43,1215.1060997498237
Guatemala,1579.3811046649223,1243.47,1571.930170502881
Guernsey,1673.879905623233,1229.9681990521326,1656.4919150609098
Guinea,1562.5327007332367,1300.01,1558.8067013458476
Guinea-Bissau,1408.0369734173744,1108.38,1412.8460917505402
Guyana,1459.5648587991368,1049.32,1457.0901667658559
Găgăuzia,1465.5726421544316,1229.9681990521326,1469.0153779389884
Haiti,1601.7989824165377,1291.71,1593.8468716035436
Hitra,1424.0913203636273,1229.9681990521326,1431.6821883272646
Hmong,1490.1310488437882,1229.9681990521326,1491.1179439594093
Honduras,1599.8839428732165,1380.27,1595.318786287356
Hong Kong,1362.4225455763028,1229.9681990521326,1376.1802910186725
Hungary,1671.6530697680028,1500.58,1664.2520644303415
Iceland,1577.0713491077681,1345.07,1573.5173542290463
India,1342.6571827265348,1091.03,1353.3782518741198
Indonesia,1445.4937165728013,1144.88,1447.8741652760302
Iran,1790.3747999038633,1615.3,1775.240985320635
Iraq,1657.3624948927584,1447.14,1649.4623078536138
Iraqi Kurdistan,1563.7562338669443,1229.9681990521326,1557.38061048025
Ireland,1634.3561263126603,1436.63,1628.3773509467114
Isle of Man,1625.053128095386,1229.9681990521326,1612.5478152858475
Isle of Wight,1586.9237816277182,1229.9681990521326,1578.2314034649464
Israel,1575.0356461529057,1328.33,1571.0812035302993
Italy,1847.317812668908,1700.37,1829.5592197846406
Jamaica,1613.1199737223794,1358.0,1606.4276607817824
Japan,1809.9378727435972,1660.43,1794.476145984927
Jersey,1724.4612902508343,1229.9681990521326,1702.015161225751
Jordan,1657.105450244582,1391.45,1647.221543260902
Kabylia,1491.0306573574305,1229.9681990521326,1491.9275916216875
Kazakhstan,1433.1949826434147,1182.96,1438.1793194910308
Kenya,1484.0546365586417,1182.23,1483.926667921023
Kernow,1553.2587114869675,1229.9681990521326,1547.9328403382708
Kiribati,1408.6058516795808,1229.9681990521326,1417.7452665116227
Kosovo,1605.6378091992374,1318.83,1598.2803682305387
Kuwait,1465.2176831952597,1105.1,1464.1903805405332
Kyrgyzstan,1444.470967363953,1229.9681990521326,1450.0238706275577
Kárpátalja,1543.8614040082673,1229.9681990521326,1539.4752636074406
Laos,1115.8790593764957,885.03,1141.8449829074464
Latvia,1349.4653004539468,1090.57,1359.48895996152
Lebanon,1459.4108891225867,1187.96,1461.9540469230535
Lesotho,1393.057968829371,1067.13,1397.8765919150019
Liberia,1410.2771835787717,1079.02,1413.8029039760886
Libya,1535.7954561809556,1182.08,1530.4879932330823
Liechtenstein,1115.0157535454466,803.57,1138.1287418597913
Lithuania,1342.5718691202094,1058.42,1352.1248251682186
Luhansk PR,1495.0589592892024,1229.9681990521326,1495.5530633602823
Luxembourg,1396.6140058827013,1227.77,1406.873289172471
Macau,1087.241729677475,858.03,1115.097163534181
Madagascar,1457.5195154874168,1203.76,1460.8219113098273
Madrid,1488.526135111166,1229.9681990521326,1489.6735216000495
Malawi,1465.6240012475089,1128.03,1465.3834343886792
Malaysia,1481.5845199519201,1086.22,1478.2392994170277
Maldives,1209.605759395994,954.93,1228.7211671037305
Mali,1654.5255716874178,1459.13,1647.341703987449
Malta,1324.85063183931,987.73,1333.625052403752
Manchukuo,1465.189276587497,1229.9681990521326,1468.6703489287474
Mapuche,1494.7403219249172,1229.9681990521326,1495.2662897324255
Marshall Islands,1468.6476813049342,1229.9681990521326,1471.7829131744409
Martinique,1496.7510402821563,1229.9681990521326,1497.0759362539407
Matabeleland,1510.55418233541,1229.9681990521326,1509.498764101869
Maule Sur,1525.0546695700991,1229.9681990521326,1522.5492026130892
Mauritania,1453.3476041623842,1170.72,1455.8750312594234
Mauritius,1280.0548986156946,911.49,1290.5579764139893
Mayotte,1473.448352624361,1229.9681990521326,1476.1035173619248
Menorca,1523.0596536106498,1229.9681990521326,1520.753688249585
Mexico,1773.3629601884356,1681.03,1762.3020204804452
Micronesia,1453.836783685438,1229.9681990521326,1458.4531053168942
Moldova,1340.8982501864925,1004.16,1348.66074143634
Monaco,1490.9758389022766,1229.9681990521326,1491.8782550120488
Mongolia,1202.7098804801233,879.75,1219.8022072503004
Montenegro,1493.1997114317062,1295.52,1496.2450013569805
Montserrat,1335.5738562685503,916.75,1340.7148313055673
Morocco,1794.1272158773766,1755.87,1783.6902514407861
Mozambique,1484.5260121980907,1224.31,1485.8692500285897
Myanmar,1248.478193231063,1011.88,1265.761245688039
Namibia,1453.4044049390957,1148.84,1455.1366707935035
Nepal,1235.189352291312,914.54,1250.2890357985134
Netherlands,1853.8591342503746,1757.87,1837.5211426167916
New Caledonia,1579.8438026911995,1036.95,1564.8948779684124
New Zealand,1637.9326380592468,1281.57,1626.0012869556244
Nicaragua,1455.6732868382098,1115.13,1455.9623294903288
Niger,1434.7784984825535,1179.66,1439.485412089749
Nigeria,1711.3154243580577,1585.09,1702.9975004375701
Niue,1478.444673589051,1229.9681990521326,1480.600206230146
North Korea,1520.426736713737,1151.05,1515.53651131822
North Macedonia,1563.922976150573,1372.04,1562.656958742113
North Vietnam,1492.2330382197188,1229.9681990521326,1493.009734397747
Northern Cyprus,1575.4608784424397,1229.9681990521326,1567.9147905981959
Northern Ireland,1561.923534760348,1362.16,1560.5009681677932
Northern Mariana Islands,1258.5228086660936,1229.9681990521326,1282.6705277994843
Norway,1740.9165804826273,1550.94,1728.406329716438
Occitania,1587.3245319563891,1229.9681990521326,1578.5920787607502
Oman,1584.2389023650062,1313.46,1578.827590020506
Orkney,1428.0427560075204,1229.9681990521326,1435.2384804067685
Padania,1603.7448252376075,1229.9681990521326,1593.3703427138469
Pakistan,1159.7260941598927,824.6,1179.1268596056227
Palau,1469.2012231809529,1229.9681990521326,1472.2811008628576
Palestine,1521.749329343302,1244.73,1520.107036436816
Panama,1705.1615857532745,1540.64,1695.8551865624386
Panjab,1532.8382040890933,1229.9681990521326,1529.554383680184
Papua New Guinea,1470.1968400148687,974.9,1463.9737035941846
Paraguay,1760.5876843550438,1503.5,1744.398577933527
Parishes of Jersey,1506.761231619123,1229.9681990521326,1506.0851084572107
Peru,1702.571721098765,1455.87,1690.4656100939608
Philippines,1371.9912890751855,1094.1,1379.889720310777
Poland,1706.8810055398778,1528.0,1696.9465838436402
Portugal,1875.7975978722006,1763.83,1857.4808105045506
Provence,1457.5607701844676,1229.9681990521326,1461.8046931660208
Puerto Rico,1372.1985426993535,1026.11,1377.6230116252862
Qatar,1563.512188818953,1454.96,1565.2791961307903
Raetia,1443.0172093119547,1229.9681990521326,1448.7154883807593
Republic of St. Pauli,1476.3704699604705,1229.9681990521326,1478.7334229644234
Rhodes,1543.4586126044862,1229.9681990521326,1539.1127513440376
Romani people,1478.4295612347737,1229.9681990521326,1480.5866051112964
Romania,1622.7349248709422,1451.16,1618.4425457609968
Russia,1738.7723822503308,1525.6,1725.5622253146792
Rwanda,1441.0938102334164,1126.62,1443.2553864045794
Ryūkyū,1486.6535221777033,1229.9681990521326,1487.988169959933
Réunion,1550.579662810823,1229.9681990521326,1545.5216965297407
Saare County,1389.0687475278498,1229.9681990521326,1400.161872775065
Saarland,1456.1044416526058,1229.9681990521326,1460.4939974873453
Saint Barthélemy,1454.425318657287,1229.9681990521326,1458.9827867915585
Saint Helena,1442.47933095521,1229.9681990521326,1448.231397859689
Saint Kitts and Nevis,1365.463529254669,1229.9681990521326,1378.9171763292022
Saint Lucia,1341.4657746211622,1229.9681990521326,1357.3191971590459
Saint Martin,1350.402808048726,1229.9681990521326,1365.3625272438535
Saint Pierre and Miquelon,1444.6650743266466,1229.9681990521326,1450.198566893982
Saint Vincent and the Grenadines,1397.612426965677,1229.9681990521326,1407.8511842691094
Samoa,1352.824919322465,876.41,1354.7852272590947
San Marino,1022.4291190185019,726.33,1052.013772376878
Sark,1465.2394846599802,1229.9681990521326,1468.7155361939822
Saudi Arabia,1632.1368535338868,1421.43,1625.831554179481
Saugeais,1496.7583763142927,1229.9681990521326,1497.0825386828635
Scotland,1689.05137202272,1498.35,1679.8300728856443
Sealand,1492.0598989416387,1229.9681990521326,1492.8539090474749
Seborga,1486.644068502343,1229.9681990521326,1487.979661652109
Senegal,1834.532696531531,1688.99,1817.6419984576535
Serbia,1736.0063164223327,1508.65,1722.4611707428776
Seychelles,1156.3969820333227,804.16,1175.3931360677702
Shetland,1496.2105218075155,1229.9681990521326,1496.589469626764
Sierra Leone,1461.4911410532134,1148.98,1462.4197848210308
Silesia,1489.2996839018697,1229.9681990521326,1490.3697155116827
Singapore,1352.7851101204524,1059.53,1361.3567934438079
Sint Maarten,1385.2367110550226,1229.9681990521326,1396.7130399495204
Slovakia,1646.496478166629,1473.94,1640.6498989802137
Slovenia,1670.0335889278142,1446.44,1660.8410348610569
Solomon Islands,1478.1609622575006,1031.89,1473.1977450381062
Somalia,1178.9210882934067,839.17,1196.9280737304227
Somaliland,1488.93691565232,1229.9681990521326,1490.043224087088
South Africa,1617.1103721350557,1429.73,1612.6072041778077
South Korea,1796.4728929559467,1588.66,1779.7680360586187
South Ossetia,1485.6810493240444,1229.9681990521326,1487.11294439164
South Sudan,1324.0498506343033,970.94,1332.2985271638677
South Yemen,1487.5908567076237,1229.9681990521326,1488.8317710368615
Spain,1984.6844164650054,1876.4,1959.5407340177637
Sri Lanka,1146.2567022452183,871.82,1168.7082140400678
Sudan,1457.5966649404077,1157.22,1459.2120746375713
Suriname,1530.5176687576698,1132.43,1523.9464973564995
Surrey,1511.9350807363373,1229.9681990521326,1510.7415726627037
Sweden,1686.6681627607054,1514.77,1678.2776562467532
Switzerland,1806.7057968492988,1649.4,1791.1692896887644
Syria,1540.6768880830102,1288.56,1538.7233273948852
Székely Land,1479.428995548827,1229.9681990521326,1481.4860959939444
Sápmi,1456.1681306475691,1229.9681990521326,1460.5513175828123
São Tomé and Príncipe,1281.04610084893,855.44,1289.4276443792928
Tahiti,1533.9840317481585,1019.04,1522.9748497657247
Taiwan,1236.0788141169867,1229.9681990521326,1262.470932705288
Tajikistan,1455.3257710643643,1221.78,1459.4977447382475
Tamil Eelam,1504.2297677601166,1229.9681990521326,1503.806790984105
Tanzania,1443.5769014093169,1180.27,1447.4259849391296
Thailand,1527.4933653379135,1252.14,1525.5440388243046
Tibet,1390.7889202553001,1229.9681990521326,1401.7100282297702
Ticino,1476.6366385809695,1229.9681990521326,1478.9729747228726
Timor-Leste,1102.9087314832109,825.64,1128.0287588095687
Togo,1467.7741420619507,1147.31,1468.0142282542379
Tonga,1283.7888255540643,835.64,1291.1816666748728
Trinidad and Tobago,1524.92273864257,1222.94,1522.176871050011
Tunisia,1697.3029498369613,1483.05,1686.7044334201119
Turkey,1769.3668007678828,1599.04,1755.7470875725553
Turkmenistan,1424.2531265322614,1078.65,1426.3679021757725
Turks and Caicos Islands,1289.0140120283593,803.98,1294.7419682456757
Tuvalu,1384.0443855841406,1229.9681990521326,1395.6399470257265
Two Sicilies,1478.0073011808572,1229.9681990521326,1480.2065710627714
Uganda,1518.180603563566,1264.09,1517.593736953227
Ukraine,1748.6230368607055,1546.88,1735.1956462368846
United Arab Emirates,1598.8237439083712,1370.47,1594.01100048149
United Koreans in Japan,1489.9333310142094,1229.9681990521326,1490.9399979127886
United States,1725.063775096638,1673.13,1718.547703568614
United States Virgin Islands,1193.5286801178345,1229.9681990521326,1224.1758121060511
Uruguay,1847.4744361898963,1673.07,1828.7151336133375
Uzbekistan,1709.6992361571688,1465.34,1697.2220732183785
Vanuatu,1466.9043887735754,997.01,1461.8082775756163
Vatican City,1458.8738844102238,1229.9681990521326,1462.9864959692015
Venezuela,1716.1497339064356,1468.05,1703.1253042803348
Vietnam,1494.9697433626286,1225.68,1495.3180408552844
Vietnam Republic,1468.4572288696972,1229.9681990521326,1471.6115059827275
Wales,1672.4607060626238,1524.29,1665.834448906342
Wallis Islands and Futuna,1425.952900406808,1229.9681990521326,1433.3576103661273
West Papua,1495.122400080551,1229.9681990521326,1495.610160072496
Western Armenia,1498.7233534435827,1229.9681990521326,1498.8510180992246
Western Australia,1490.7948287804713,1229.9681990521326,1491.7153459024241
Western Isles,1479.0243801791144,1229.9681990521326,1481.121942161203
Western Sahara,1488.5214373262443,1229.9681990521326,1489.6692935936198
Yemen,1326.152547905402,1049.49,1337.0252209559203
Yemen DPR,1456.0849327971614,1229.9681990521326,1460.4764395174452
Ynys Môn,1620.503797806887,1229.9681990521326,1608.4534180261983
Yorkshire,1530.0402113831105,1229.9681990521326,1527.0361902447996
Yoruba Nation,1484.2121253921268,1229.9681990521326,1485.7909128529143
Yugoslavia,1732.5754933073963,1229.9681990521326,1709.3179439766568
Zambia,1536.3628811864119,1255.82,1533.6593860261182
Zanzibar,1500.5054977433642,1229.9681990521326,1500.454947969028
Zimbabwe,1476.2013128411484,1118.12,1474.5454390302325
Åland Islands,1478.5260247272586,1229.9681990521326,1480.6734222545329
