"Rank","Team","Last Result","Points","More"
"1
2","France","France

Côte d'Ivoire

FT

1
2","1877.32*",""
"2
1","Spain","Spain

Iraq

FT

1
1","1876.40*",""
"3
1","Argentina","Argentina

Zambia

FT

5
0","1874.81",""
"4","England","England

New Zealand

FT

1
0","1825.97*",""
"5
1","Portugal","Portugal

Chile

FT

2
1","1763.83*",""
"6
1","Brazil","Brazil

Egypt

FT

2
1","1761.16*",""
"7","Netherlands","Netherlands

Algeria

FT

0
1","1757.87*",""
"8","Morocco","Morocco

Madagascar

FT

4
0","1755.87*",""
"9","Belgium","Belgium

Tunisia

FT

5
0","1734.71*",""
"10","Germany","USA

Germany

FT

1
2","1730.37*",""
"11","Croatia","Croatia

Belgium

FT

0
2","1717.07*",""
"12
1","Italy","Luxembourg

Italy

FT

0
1","1700.37*",""
"13
1","Colombia","Colombia

Costa Rica

FT

3
1","1693.09*",""
"14
2","Senegal","USA

Senegal

FT

3
2","1688.99*",""
"15
1","Mexico","Mexico

Serbia

FT

5
1","1681.03*",""
"16
1","USA","USA

Germany

FT

1
2","1673.13*",""
"17","Uruguay","Algeria

Uruguay

FT

0
0","1673.07",""
"18
1","Japan","Japan

Iceland

FT

1
0","1660.43*",""
"19
1","Switzerland","Switzerland

Australia

FT

1
1","1649.40*",""
"20
1","Denmark","Congo DR

Denmark

FT

0
0","1620.81*",""
"21
1","IR Iran","Mali

IR Iran

FT

0
2","1615.30*",""
"22
3","Türkiye","Venezuela

Türkiye

FT

1
2","1599.04*",""
"23","Ecuador","Saudi Arabia

Ecuador

FT

1
2","1594.78*",""
"24","Austria","Austria

Tunisia

FT

1
0","1593.45*",""
"25
3","Korea Republic","Korea Republic

El Salvador

FT

1
0","1588.66*",""
"26","Nigeria","Poland

Nigeria

FT

2
2","1585.09*",""
"27","Australia","Switzerland

Australia

FT

1
1","1580.67*",""
"28","Algeria","Netherlands

Algeria

FT

0
1","1564.26*",""
"29
2","Egypt","Brazil

Egypt

FT

2
1","1563.24*",""
"30
1","Canada","Canada

Republic of Ireland

FT

1
1","1556.48*",""
"31
1","Norway","Norway

Sweden

FT

3
1","1550.94*",""
"32
2","Ukraine","Poland

Ukraine

FT

0
2","1546.88*",""
"33","Panama","Bosnia and Herzegovina

Panama

FT

1
1","1540.64*",""
"34
3","Côte d'Ivoire","France

Côte d'Ivoire

FT

1
2","1532.98*",""
"35
1","Poland","Poland

Nigeria

FT

2
2","1528.00*",""
"36","Russia","Russia

Burkina Faso

FT

3
0","1525.60*",""
"37
2","Wales","Romania

Wales

FT

2
1","1524.29*",""
"38
4","Sweden","Sweden

Greece

FT

2
2","1514.77*",""
"39","Serbia","Mexico

Serbia

FT

5
1","1508.65*",""
"40","Paraguay","Paraguay

Nicaragua

FT

4
0","1503.50*",""
"41
2","Czechia","Guatemala

Czechia

FT

1
3","1501.38*",""
"42
1","Hungary","Hungary

Finland

FT

2
1","1500.58*",""
"43
5","Scotland","Bolivia

Scotland

FT

0
4","1498.35*",""
"44
3","Tunisia","Belgium

Tunisia

FT

5
0","1483.05*",""
"45","Cameroon","Cameroon

China PR

FT

2
0","1481.24",""
"46
2","Congo DR","Congo DR

Denmark

FT

0
0","1478.35*",""
"47
1","Greece","Sweden

Greece

FT

2
2","1475.82*",""
"48
4","Slovakia","Slovakia

Montenegro

FT

2
2","1473.94*",""
"49
1","Venezuela","Venezuela

Türkiye

FT

1
2","1468.05*",""
"50
2","Uzbekistan","Canada

Uzbekistan

FT

2
0","1465.34*",""
"51","Costa Rica","Colombia

Costa Rica

FT

3
1","1459.90*",""
"52
2","Mali","Mali

IR Iran

FT

0
2","1459.13*",""
"53","Peru","Peru

Haiti

FT

2
1","1455.87*",""
"54
1","Chile","Portugal

Chile

FT

2
1","1455.28*",""
"55
1","Qatar","El Salvador

Qatar

FT

0
0","1454.96*",""
"56
7","Romania","Romania

Wales

FT

2
1","1451.16*",""
"57
1","Iraq","Spain

Iraq

FT

1
1","1447.14*",""
"58
1","Slovenia","Slovenia

Cyprus

FT

1
1","1446.44*",""
"59","Republic of Ireland","Canada

Republic of Ireland

FT

1
1","1436.63*",""
"60","South Africa","South Africa

Nicaragua

FT

0
0","1429.73*",""
"61","Saudi Arabia","Puerto Rico

Saudi Arabia

FT

0
3","1421.43*",""
"62","Burkina Faso","Russia

Burkina Faso

FT

3
0","1412.49*",""
"63
1","Jordan","Switzerland

Jordan

FT

4
1","1391.45*",""
"64
1","Albania","Albania

Luxembourg

FT

0
1","1388.06*",""
"65
6","Bosnia and Herzegovina","Bosnia and Herzegovina

Panama

FT

1
1","1385.84*",""
"66
1","Honduras","Peru

Honduras

FT

2
2","1380.27",""
"67
1","North Macedonia","Türkiye

North Macedonia

FT

4
0","1372.04*",""
"68","United Arab Emirates","Saudi Arabia

United Arab Emirates

Abandoned

0
0","1370.47",""
"69
2","Cabo Verde","Bermuda

Cabo Verde

FT

0
3","1366.13*",""
"70
1","Northern Ireland","Northern Ireland

Guinea

FT

1
0","1362.16*",""
"71
1","Jamaica","Nigeria

Jamaica

FT

3
0","1358.00*",""
"72
1","Georgia","Georgia

Bahrain

FT

2
0","1350.18*",""
"73
2","Finland","Hungary

Finland

FT

2
1","1346.41*",""
"74
2","Ghana","Wales

Ghana

FT

1
1","1346.31*",""
"75
1","Iceland","Japan

Iceland

FT

1
0","1345.07*",""
"76","Bolivia","Bolivia

Scotland

FT

0
4","1329.42*",""
"77","Israel","Albania

Israel

FT

0
1","1328.33*",""
"78
1","Kosovo","Czechia

Kosovo

FT

2
1","1318.83*",""
"79
1","Oman","Indonesia

Oman

FT

3
0","1313.46*",""
"80","Guinea","Northern Ireland

Guinea

FT

1
0","1300.01*",""
"81
1","Montenegro","Slovakia

Montenegro

FT

2
2","1295.52*",""
"82
1","Curaçao","Curaçao

Aruba

FT

4
0","1294.65*",""
"83","Haiti","Peru

Haiti

FT

2
1","1291.71*",""
"84","Syria","Belarus

Syria

FT

4
1","1288.56*",""
"85","New Zealand","England

New Zealand

FT

1
0","1281.57*",""
"86
1","Bulgaria","Moldova

Bulgaria

FT

2
2","1278.90*",""
"87
1","Gabon","Trinidad and Tobago

Gabon

FT

2
2","1272.51",""
"88","Uganda","Uganda

Nigeria

FT

1
3","1264.09",""
"89","Angola","Angola

Mauritania

FT

1
1","1263.10*",""
"90
2","Benin","Benin

Niger

FT

1
1","1258.98*",""
"91
1","Bahrain","Georgia

Bahrain

FT

2
0","1258.53*",""
"92
1","Zambia","Argentina

Zambia

FT

5
0","1255.82",""
"93
3","Thailand","Thailand

Kuwait

FT

2
2","1252.14*",""
"94
1","China PR","Singapore

China PR

FT

1
2","1251.60*",""
"95","Palestine","Kyrgyz Republic

Palestine

FT

0
0","1244.73*",""
"96
2","Guatemala","Guatemala

Czechia

FT

1
3","1243.47*",""
"97
1","Belarus","Belarus

Syria

FT

4
1","1235.82*",""
"98
4","Luxembourg","Albania

Luxembourg

FT

0
1","1227.77*",""
"99
9","Vietnam","Vietnam

Malaysia

FT

3
1","1225.68",""
"100
1","El Salvador","El Salvador

Qatar

FT

0
0","1225.26*",""
"101","Mozambique","Nigeria

Mozambique

FT

4
0","1224.31",""
"102
5","Trinidad and Tobago","Korea Republic

Trinidad and Tobago

FT

5
0","1222.94*",""
"103
3","Tajikistan","Tajikistan

India

FT

3
1","1221.78*",""
"104","Madagascar","Morocco

Madagascar

FT

4
0","1203.76*",""
"105
2","Equatorial Guinea","Equatorial Guinea

Madagascar

FT

1
1","1195.20",""
"106
1","Armenia","Armenia

Kazakhstan

FT

1
1","1191.42*",""
"107
4","Kyrgyz Republic","Kyrgyz Republic

Palestine

FT

0
0","1191.14*",""
"108
1","Lebanon","Lebanon

Yemen

FT

0
2","1187.96*",""
"109
3","Comoros","Kazakhstan

Comoros

FT

1
0","1187.91",""
"110
4","Kazakhstan","Armenia

Kazakhstan

FT

1
1","1182.96*",""
"111
2","Kenya","Lesotho

Kenya

FT

1
1","1182.23*",""
"112","Libya","Liberia

Libya

FT

2
2","1182.08",""
"113
3","Tanzania","Macau

Tanzania

FT

0
6","1180.27",""
"114
3","Niger","Benin

Niger

FT

1
1","1179.66*",""
"115","Mauritania","Angola

Mauritania

FT

1
1","1170.72*",""
"116","The Gambia","IR Iran

The Gambia

FT

3
1","1160.38*",""
"117","Sudan","Senegal

Sudan

FT

3
1","1157.22",""
"118
1","Korea DPR","IR Iran

Korea DPR

FT

3
0","1151.05",""
"119
1","Sierra Leone","Sierra Leone

Liberia

FT

1
0","1148.98*",""
"120
2","Namibia","Namibia

Comoros

FT

0
0","1148.84",""
"121
3","Togo","Togo

Central African Republic

FT

1
1","1147.31*",""
"122","Indonesia","Indonesia

Oman

FT

3
0","1144.88*",""
"123
2","Faroe Islands","Estonia

Faroe Islands

FT

1
0","1137.14*",""
"124
3","Azerbaijan","Azerbaijan

Malta

FT

0
2","1136.67*",""
"125
2","Suriname","Bolivia

Suriname

FT

2
1","1132.43",""
"126
2","Cyprus","Slovenia

Cyprus

FT

1
1","1128.33*",""
"127
1","Malawi","Ethiopia

Malawi

FT

1
0","1128.03*",""
"128
2","Rwanda","Rwanda

Estonia

FT

2
0","1126.62",""
"129","Estonia","Estonia

Faroe Islands

FT

1
0","1121.10*",""
"130
2","Zimbabwe","Zimbabwe

India

FT

1
0","1118.12*",""
"131","Nicaragua","Paraguay

Nicaragua

FT

4
0","1115.13*",""
"132
1","Guinea-Bissau","Burkina Faso

Guinea-Bissau

FT

1
1","1108.38",""
"133
1","Congo","Morocco

Congo

FT

1
0","1105.96",""
"134
1","Kuwait","Thailand

Kuwait

FT

2
2","1105.10*",""
"135
1","Philippines","Philippines

Guam

FT

5
1","1094.10*",""
"136
5","India","Tajikistan

India

FT

3
1","1091.03*",""
"137
2","Latvia","Lithuania

Latvia

FT

(5)
1
(4)
1","1090.57*",""
"138
17","Malaysia","Vietnam

Malaysia

FT

3
1","1086.22",""
"139
1","Central African Republic","Togo

Central African Republic

FT

1
1","1083.57*",""
"140","Liberia","Sierra Leone

Liberia

FT

1
0","1079.02*",""
"141
4","Turkmenistan","Thailand

Turkmenistan

FT

2
1","1078.65",""
"142
3","Burundi","Burundi

Chad

FT

4
0","1078.01",""
"143
1","Dominican Republic","Panama

Dominican Republic

FT

4
2","1077.95*",""
"144
3","Ethiopia","Ethiopia

Malawi

FT

1
0","1071.55*",""
"145
2","Lesotho","Lesotho

Kenya

FT

1
1","1067.13*",""
"146
2","Botswana","Malawi

Botswana

FT

0
1","1063.63",""
"147
1","Singapore","Singapore

China PR

FT

1
2","1059.53*",""
"148
2","Lithuania","Lithuania

Latvia

FT

(5)
1
(4)
1","1058.42*",""
"149","Yemen","Lebanon

Yemen

FT

0
2","1049.49*",""
"150
1","Guyana","Guyana

Belize

FT

3
1","1049.32",""
"151
1","New Caledonia","New Caledonia

Jamaica

FT

0
1","1036.95",""
"152
2","St Kitts and Nevis","St. Kitts and Nevis

Solomon Islands

FT

4
2","1036.33",""
"153
1","Solomon Islands","St. Kitts and Nevis

Solomon Islands

FT

4
2","1031.89",""
"154
1","Fiji","Vanuatu

Fiji

FT

2
1","1029.70*",""
"155
2","Hong Kong, China","Hong Kong

Mongolia

FT

2
0","1026.63*",""
"156","Puerto Rico","Puerto Rico

Saudi Arabia

FT

0
3","1026.11*",""
"157","Tahiti","New Caledonia

Tahiti

FT

3
0","1019.04",""
"158
5","Myanmar","Myanmar

Guam

FT

6
1","1011.88*",""
"159
1","Moldova","Moldova

Bulgaria

FT

2
2","1004.16*",""
"160","Vanuatu","Vanuatu

Fiji

FT

2
1","997.01*",""
"161","Malta","Azerbaijan

Malta

FT

0
2","987.73*",""
"162
3","Antigua and Barbuda","Antigua and Barbuda

Guyana

FT

1
4","986.58",""
"163
1","Grenada","Republic of Ireland

Grenada

FT

5
0","982.57*",""
"164
2","Cuba","Dominican Republic

Cuba

FT

1
1","981.42",""
"165
6","Eswatini","Eswatini

Eritrea

FT

1
2","979.01",""
"166
3","Bermuda","Bermuda

Cabo Verde

FT

0
3","976.87*",""
"167","St Lucia","Azerbaijan

St. Lucia

FT

6
1","976.71",""
"168
2","Papua New Guinea","Papua New Guinea

Solomon Islands

FT

1
0","974.90",""
"169
7","Afghanistan","Maldives

Afghanistan

FT

0
1","972.75*",""
"170
2","South Sudan","South Sudan

Djibouti

FT

0
1","970.94",""
"171","St Vincent and the Grenadines","Barbados

St. Vincent / Grenadines

FT

2
3","968.27",""
"172
1","Maldives","Maldives

Pakistan

FT

0
3","954.93*",""
"173
1","Andorra","Andorra

Liechtenstein

FT

2
0","945.34*",""
"174","Chinese Taipei","Chinese Taipei

Sri Lanka

FT

1
3","923.78",""
"175","Montserrat","Guyana

Montserrat

FT

3
0","916.75",""
"176
6","Nepal","Nepal

Laos

FT

0
1","914.54",""
"177
2","Cambodia","Cambodia

Bhutan

FT

4
0","911.54*",""
"178
2","Mauritius","Mauritius

Somalia

FT

(2)
0
(4)
0","911.49",""
"179
1","Barbados","Barbados

St. Vincent / Grenadines

FT

2
3","909.89",""
"180
1","Belize","Guyana

Belize

FT

3
1","907.00",""
"181
1","Bangladesh","San Marino

Bangladesh

FT

1
2","899.53*",""
"182
1","Dominica","Guyana

Dominica

FT

2
0","897.69",""
"183
6","Chad","Burundi

Chad

FT

4
0","896.85",""
"184","Eritrea","Eswatini

Eritrea

FT

1
2","887.06",""
"185
5","Laos","Nepal

Laos

FT

0
1","885.03",""
"186
6","Bhutan","Cambodia

Bhutan

FT

4
0","880.55*",""
"187
2","Mongolia","Hong Kong

Mongolia

FT

2
0","879.75*",""
"188
2","Cook Islands","Cook Islands

American Samoa

FT

1
2","877.53",""
"189
2","Aruba","Curaçao

Aruba

FT

4
0","877.30*",""
"190
3","Samoa","Samoa

New Zealand

FT

0
8","876.41",""
"191
3","Sri Lanka","Chinese Taipei

Sri Lanka

FT

1
3","871.82",""
"192
8","American Samoa","American Samoa

Guam

FT

0
6","871.61",""
"193
5","Brunei Darussalam","Bhutan

Brunei

FT

2
1","863.09",""
"194
1","Macau","Macau

Tanzania

FT

0
6","858.03",""
"195","Cayman Islands","Gibraltar

Cayman Islands

FT

4
1","855.45*",""
"196
7","São Tomé and Príncipe","Ethiopia

São Tomé and Príncipe

FT

1
0","855.44",""
"197
1","Djibouti","South Sudan

Djibouti

FT

0
1","853.58",""
"198
2","Somalia","Mauritius

Somalia

FT

(2)
0
(4)
0","839.17",""
"199
2","Tonga","Tonga

Samoa

FT

1
2","835.64",""
"200
2","Timor-Leste","Maldives

Timor-Leste

FT

2
1","825.64",""
"201","Guam","Myanmar

Guam

FT

6
1","825.43*",""
"202
3","Pakistan","Maldives

Pakistan

FT

0
3","824.60*",""
"203
1","Gibraltar","Gibraltar

Cayman Islands

FT

4
1","810.14*",""
"204
1","Seychelles","Lesotho

Seychelles

FT

2
1","804.16",""
"205
1","Turks and Caicos Islands","Belize

Turks and Caicos Islands

FT

3
0","803.98",""
"206
1","Liechtenstein","Andorra

Liechtenstein

FT

2
0","803.57*",""
"207
1","Bahamas","Cayman Islands

Bahamas

FT

1
0","786.82",""
"208","British Virgin Islands","Gibraltar

British Virgin Islands

FT

4
0","782.14*",""
"209
2","US Virgin Islands","US Virgin Islands

Puerto Rico

FT

0
2","779.76",""
"210
1","Anguilla","British Virgin Islands

Anguilla

FT

4
0","760.25",""
"211
1","San Marino","San Marino

Bangladesh

FT

1
2","726.33*",""